"Date of Airing (EST)","Topic List","Fact Check","TV Clip",Organization,Collection
2017-09-19,"Human Rights",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/22/president-trumps-claim-that-10-refugees-overseas-cost-as-much-as-one-in-the-u-s/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/1604/end/1614,"Washington Post",trumparchive
2017-09-19,"Terrorism,Foreign Policy",http://www.factcheck.org/2017/09/trumps-u-n-speech/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/1478/end/1518,FactCheck.org,trumparchive
2017-09-19,"Terrorism,Foreign Policy",http://www.politifact.com/truth-o-meter/article/2017/sep/19/fact-checking-donald-trumps-speech-un/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/1478/end/1518,PolitiFact,trumparchive
2017-09-19,Nuclear,http://www.politifact.com/truth-o-meter/article/2017/sep/19/fact-checking-donald-trumps-speech-un/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/1229/end/1239,PolitiFact,trumparchive
2017-09-19,History,http://www.politifact.com/truth-o-meter/article/2017/sep/19/fact-checking-donald-trumps-speech-un/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/539.9/end/553,PolitiFact,trumparchive
2017-09-19,"Jobs,Corporations,Military,Federal Budget",http://www.factcheck.org/2017/09/trumps-u-n-speech/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/159.8/end/199.5,FactCheck.org,trumparchive
2017-09-19,"Jobs,Corporations,Military,Federal Budget",http://www.politifact.com/truth-o-meter/article/2017/sep/19/fact-checking-donald-trumps-speech-un/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/159.8/end/199.5,PolitiFact,trumparchive
2017-09-19,"Health Care",http://www.factcheck.org/2017/09/preexisting-conditions-debate-2/,https://archive.org/details/CSPAN2_20170919_135900_U.S._Senate_Confirms_Solicitor_General_Nominee_50-47/start/2095/end/2112,FactCheck.org,charles_schumer_archive
2017-09-17,"North Korea,Energy,Foreign Policy,Nuclear",http://www.politifact.com/truth-o-meter/statements/2017/sep/19/donald-trump/are-gas-lines-forming-north-korea/,https://archive.org/details/CNNW_20170917_120000_Inside_Politics/start/1281.6/end/1291.6,PolitiFact,trumparchive
2017-09-14,"Climate Change",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/20/president-trumps-claim-that-weve-had-bigger-storms-than-harvey-and-irma/,https://archive.org/details/CNNW_20170914_210000_Situation_Room_With_Wolf_Blitzer/start/615/end/642,"Washington Post",trumparchive
